00407308	CompareStringW	6
00407310	CreateEventA	6
00407318	CreateFileA	6
00407320	CreateFileA	6
00407328	CreateFileW	6
00407330	CreateThread	6
00407338	DeleteCriticalSection	6
00407340	DeleteFileA	6
00407348	EnterCriticalSection	6
00407350	EnumCalendarInfoA	6
00407358	FileTimeToDosDateTime	6
00407360	FileTimeToLocalFileTime	6
00407368	FindClose	6
00407370	FindFirstFileA	6
00407378	FindFirstFileA	6
00407380	FindFirstFileW	6
00407388	FindNextFileA	6
00407390	FindResourceA	6
00407398	FormatMessageA	6
004073a0	FormatMessageA	6
004073a8	FormatMessageW	6
004073b0	FreeLibrary	6
004073b8	InterlockedDecrement	6
004073c0	InterlockedExchange	6
004073c8	InterlockedIncrement	6
004073d0	FreeResource	6
004073d8	GetACP	6
004073e0	GetCPInfo	6
004073e8	GetCommandLineW	6
004073f0	GetComputerNameA	6
004073f8	GetCurrentProcess	6
00407400	GetCurrentProcessId	6
00407408	GetCurrentThreadId	6
00407410	GetDateFormatA	6
00407418	GetDiskFreeSpaceA	6
00407420	GetExitCodeThread	6
00407428	GetFileAttributesA	6
00407430	GetFullPathNameA	6
00407438	GetFullPathNameA	6
00407440	GetFullPathNameW	6
00407448	GetLastError	6
00407450	GetLocalTime	6
00407458	GetLocaleInfoA	6
00407460	GetModuleFileNameA	6
00407468	GetModuleFileNameA	6
00407470	GetModuleFileNameW	6
00407478	GetModuleHandleA	6
00407480	GetPrivateProfileStringA	6
00407488	GetProcAddress	6
00407490	GetProfileStringA	6
00407498	GetStdHandle	6
004074a0	GetStringTypeExA	6
004074a8	GetSystemDirectoryA	6
004074b0	GetSystemInfo	6
004074b8	GetThreadLocale	6
004074c0	GetTickCount	6
004074c8	GetUserDefaultLCID	6
004074d0	GetVersion	6
004074d8	GetVersionExA	6
004074e0	GlobalAddAtomA	6
004074e8	GlobalAlloc	6
004074f0	GlobalDeleteAtom	6
004074f8	GlobalFindAtomA	6
00407500	GlobalFree	6
00407508	GlobalLock	6
00407510	GlobalHandle	6
00407518	GlobalReAlloc	6
00407520	GlobalSize	6
00407528	GlobalUnlock	6
00407530	InitializeCriticalSection	6
00407538	LeaveCriticalSection	6
00407540	LoadLibraryA	6
00407548	LoadLibraryA	6
00407550	LoadLibraryW	6
00407558	LoadResource	6
00407560	LockResource	6
00407568	MulDiv	6
00407570	MultiByteToWideChar	6
00407578	ReadFile	6
00407580	ResetEvent	6
00407588	ResumeThread	6
00407590	SetEndOfFile	6
00407598	SetErrorMode	6
004075a0	SetEvent	6
004075a8	SetFilePointer	6
004075b0	SetLastError	6
004075b8	SetProcessWorkingSetSize	6
004075c0	SetThreadLocale	6
004075c8	SetThreadPriority	6
004075d0	SizeofResource	6
004075d8	Sleep	6
004075e0	VirtualAlloc	6
004075e8	VirtualProtect	6
004075f0	VirtualQuery	6
004075f8	WaitForSingleObject	6
00407600	WideCharToMultiByte	6
00407608	WriteFile	6
00407610	WritePrivateProfileStringA	6
00407618	lstrcmpA	6
00407620	lstrcpyA	6
00407628	GetFileVersionInfoA	6
00407630	GetFileVersionInfoSizeA	6
00407638	VerQueryValueA	6
00407640	BitBlt	6
00407648	CloseEnhMetaFile	6
00407650	CombineRgn	6
00407658	CopyEnhMetaFileA	6
00407660	CreateBitmap	6
00407668	CreateBrushIndirect	6
00407670	CreateCompatibleBitmap	6
00407678	CreateCompatibleDC	6
00407688	CreateDIBSection	6
00407690	CreateDIBitmap	6
00407698	CreateEllipticRgn	6
004076a0	CreateEnhMetaFileA	6
004076a8	CreateFontIndirectA	6
004076b0	CreateHalftonePalette	6
004076c0	CreatePalette	6
004076c8	CreatePenIndirect	6
004076d0	CreatePolygonRgn	6
004076d8	CreateRectRgn	6
004076e0	CreateRectRgnIndirect	6
004076e8	CreateSolidBrush	6
004076f0	DeleteDC	6
004076f8	DeleteEnhMetaFile	6
00407700	DeleteObject	6
00407708	Ellipse	6
00407710	EndDoc	6
00407718	EndPage	6
00407720	EnumFontFamiliesExA	6
00407728	ExcludeClipRect	6
00407730	ExtTextOutA	6
00407738	GdiFlush	6
00407740	GetBitmapBits	6
00407748	GetBrushOrgEx	6
00407750	GetClipBox	6
00407758	GetCurrentPositionEx	6
00407760	GetDCOrgEx	6
00407768	GetDIBColorTable	6
00407770	GetDIBits	6
00407778	GetDeviceCaps	6
00407780	GetEnhMetaFileBits	6
00407788	GetEnhMetaFileDescriptionA	6
00407790	GetEnhMetaFileHeader	6
00407798	GetEnhMetaFilePaletteEntries	6
004077a0	GetNearestPaletteIndex	6
004077a8	GetObjectA	6
004077b0	GetObjectType	6
004077b8	GetPaletteEntries	6
004077c0	GetPixel	6
004077c8	GetStockObject	6
004077d0	GetSystemPaletteEntries	6
004077d8	GetTextExtentExPointA	6
004077e0	GetTextExtentPoint32A	6
004077e8	GetTextExtentPoint32W	6
004077f0	GetTextExtentPointA	6
004077f8	GetTextExtentPointW	6
00407800	GetTextMetricsA	6
00407808	GetViewportOrgEx	6
00407810	GetWinMetaFileBits	6
00407818	GetWindowOrgEx	6
00407820	IntersectClipRect	6
00407828	LPtoDP	6
00407830	LineTo	6
00407838	MaskBlt	6
00407840	MoveToEx	6
00407848	PatBlt	6
00407850	Pie	6
00407858	PlayEnhMetaFile	6
00407860	Polygon	6
00407868	Polyline	6
00407870	RealizePalette	6
00407878	RectVisible	6
00407880	Rectangle	6
00407888	ResizePalette	6
00407890	RestoreDC	6
00407898	RoundRect	6
004078a0	SaveDC	6
004078a8	SelectClipRgn	6
004078b0	SelectObject	6
004078b8	SelectPalette	6
004078c0	SetAbortProc	6
004078c8	SetBkColor	6
004078d0	SetBkMode	6
004078d8	SetBrushOrgEx	6
004078e0	SetDIBColorTable	6
004078e8	SetEnhMetaFileBits	6
004078f0	SetMapMode	6
004078f8	SetPaletteEntries	6
00407900	SetPixel	6
00407908	SetROP2	6
00407910	SetStretchBltMode	6
00407918	SetTextColor	6
00407920	SetViewportOrgEx	6
00407928	SetWinMetaFileBits	6
00407930	SetWindowOrgEx	6
00407938	StartDocA	6
00407940	StartPage	6
00407948	StretchBlt	6
00407950	StretchDIBits	6
00407958	UnrealizeObject	6
00407960	ActivateKeyboardLayout	6
