TForm3	84	1 | 25 jogadores | 0 | Estádio: | Estádio: | Tecnico | Estadio: | Nome Completo | Nome abreviado | Pais | Pais | 0 | Nível inicial: | Estádio: | Estadio: | save all | reseta ids | Procurar time: | Procurar jogador: | Mostrar times: | Sem Camisa | Sem Escudo | Jogadores duplicados | Adicionar jogador | Deletar Jogador | - | Editar Jogador | - | Transferir jogador | Adicionar Equipe | Editar Equipe | - | Excluir Equipe	Form3.OnClose=FormClose | Form3.OnCreate=FormCreate | Form3.OnKeyDown=FormKeyDown | IMGP.OnClick=IMGPClick | IMGJ.OnClick=IMGJClick | TntLabel1.OnClick=IMGPClick | TntLabel2.OnClick=IMGJClick | Label6.OnClick=Label6Click | Label11.OnClick=Label6Click | Label1.OnClick=Label6Click | Label4.OnClick=Label6Click | Image3.OnClick=Label6Click | Image1.OnMouseDown=Image1MouseDown | Label8.OnClick=Label6Click | Label3.OnClick=Label3Click | Image13.OnMouseDown=Image1MouseDown | Image14.OnMouseDown=Image1MouseDown | Image5.OnMouseDown=Image1MouseDown | Label20.OnClick=Label6Click | Grid1.OnCellClick=Grid1CellClick | Grid1.OnCellColoring=Grid1CellColoring | Grid1.OnDblClick=Grid1DblClick | Grid1.OnKeyDown=Grid1KeyDown | Grid1.OnMouseDown=Grid1MouseDown | gridselecoes.OnCellColoring=gridtimesCellColoring | gridselecoes.OnDblClick=gridtimesDblClick | gridselecoes.OnSelectCell=gridselecoesSelectCell | gridselecoes.OnCellFormating=gridtimesCellFormating | Button1.OnClick=Button1Click | bt1.OnClick=Image5Click | AdvGlowButton1.OnClick=Image6Click | AdvGlowButton2.OnClick=Image7Click | AdvGlowButton3.OnClick=Image10Click | AdvGlowButton4.OnClick=Image11Click | AdvGlowButton5.OnClick=Image12Click | Edit1.OnChange=Edit1Change | Edit2.OnChange=Edit2Change | btpj.OnClick=btpjClick | btpt.OnClick=Button4Click | Button3.OnClick=Button3Click | Button2.OnClick=Button2Click | btdup.OnClick=btdupClick | gridtimes.OnCellColoring=gridtimesCellColoring | gridtimes.OnDblClick=gridtimesDblClick | gridtimes.OnHeaderClick=gridtimesHeaderClick | gridtimes.OnKeyDown=gridtimesKeyDown | gridtimes.OnSelectCell=gridtimesSelectCell | gridtimes.OnSortColumn=gridtimesSortColumn | gridtimes.OnCellFormating=gridtimesCellFormating | nivel.OnButtonClick=nivelButtonClick | xbt2.OnClick=xbt2Click | xbt2.OnDragDrop=xbt2DragDrop | xbt2.OnDragOver=xbt2DragOver | xbt1.OnClick=xbt1Click | TntBitBtn5.OnClick=AdvGlowButton7Click | TntBitBtn4.OnClick=AdvGlowButton6Click | Adicionarjogador1.OnClick=Adicionarjogador1Click | DeletarJogador1.OnClick=DeletarJogador1Click | EditarJogador1.OnClick=EditarJogador1Click | ransferirjogador1.OnClick=ransferirjogador1Click
TForm40	5	Salvar | Label4 | Label4	Form40.OnClose=FormClose | Form40.OnCreate=FormCreate | Form40.OnKeyDown=FormKeyDown | Form40.OnShow=FormShow | Edit1.OnChange=Edit1Change | bt1.OnClick=bt1Click
TForm41	4	Confirmação | Label4	Form41.OnClose=FormClose | Form41.OnCreate=FormCreate | Form41.OnKeyDown=FormKeyDown | Form41.OnShow=FormShow | bt1.OnClick=BitBtn1Click | TntBitBtn1.OnClick=BitBtn2Click
TForm42	25	Nome: | Código: | Após o registro será enviado o seu código pessoal, você deve digitá-lo abaixo: | O registro pode ser feito por depósito bancário, boleto bancário ou cartão de crédito em transferências seguras. Após o registro você receberá por email o nome e código para ser digitado abaixo.  | Para fazer o registro acesse o site do jogo: | www.cyberfoot.org | Além disso, com o jogo registado você pode: | - Acesso à área de sócios para adicionar mais ligas, logos, etc |  - Poderá jogar com mais de um técnico humano | - Iniciar o jogo com uma equipa de qualquer divisão |  - Jogar os campeonatos de seleções: Copa do Mundo, Eurocopa, Copa América |  - Jogar a Copa Sul-Americana (ou Liga UEFA) |  - Fazer proposta de compra para qualquer jogador, mesmo se ele não estiver a venda |  - Velocidades de jogo Hiper-rápido para jogos humanos e Ultrasonico para jogos não humanos | O registo do jogo ajuda-nos a continuar o desenvolvimento de novas versões e você ganha acesso à área de sócios no nosso site.	Form42.OnClose=FormClose | Form42.OnCreate=FormCreate | Form42.OnKeyDown=FormKeyDown | Form42.OnPaint=FormPaint | Form42.OnShow=FormShow | Label10.OnClick=XiButton1Click | Image1.OnClick=Image1Click | xibutton2.OnClick=XiButton2Click
Tform43	7	Selecione o arquivo | Prévia | Cancelar | OK	form43.OnActivate=FormActivate | form43.OnClose=FormClose | form43.OnShow=FormShow | list1.OnSelectItem=list1SelectItem | BitBtn2.OnClick=BitBtn2Click | BitBtn1.OnClick=BitBtn1Click
TForm44	21	Form44 | Label3 | 12% do valor total | Label4 | Label4 | Label4 | Label4 | Label4 | Label4 | Label4 | Label4 | Label4 | Label4 | Label4	Form44.OnClose=FormClose | Form44.OnCreate=FormCreate | Form44.OnPaint=FormPaint | Form44.OnShow=FormShow | Edit1.OnChange=Edit1Change | ck1.OnClick=ck1Click | ck2.OnClick=ck1Click | Edit2.OnChange=Edit2Change | XiButton1.OnClick=XiButton1Click | bt1.OnClick=bt1Click
TForm45	8	Form45 | Cyberfoot 2015 | Cópia não registrada! | Cyberfoot is the international version of the game Brasfoot. | www.cyberfoot.org | X	Form45.OnClose=FormClose | Form45.OnCreate=FormCreate | Form45.OnKeyDown=FormKeyDown | Form45.OnShow=FormShow | Label4.OnClick=Label4Click | Label10.OnClick=Label4Click | XiButton2.OnClick=XiButton2Click
TForm46	20	Form46 | '' | 0' | lcamp	Form46.OnClose=FormClose | Form46.OnCreate=FormCreate | Form46.OnKeyDown=FormKeyDown | Form46.OnPaint=FormPaint | Form46.OnShow=FormShow | labvn2.OnClick=labvn3Click | labvn3.OnClick=labvn3Click | labvn4.OnClick=labvn3Click | Button1.OnClick=Button1Click | Timerl.OnTimer=TimerlTimer
TForm47	28	Form47 | Galeria de troféus | Label4 | Label4 | << | >>	Form47.OnClose=FormClose | Form47.OnCreate=FormCreate | Form47.OnPaint=FormPaint | Form47.OnShow=FormShow | Image2.OnClick=Image2Click | Label4.OnClick=Label4Click | gridview1.OnCellColoring=gridview1CellColoring | gridview1.OnSelectCell=gridview1SelectCell | gridview1.OnCellFormating=gridview1CellFormating | XiButton3.OnClick=XiButton3Click | XiButton1.OnClick=XiButton1Click | combopais.OnChange=combopaisClick
TForm48	13	Form48 |  jogador | Ao aposentar um jogador você ganha a oportunidade de receber um novo jogador na Academia de Juniores do seu time. Você pode escolher a posição e como será chamado o novo jogador.  | Se não houver vaga nos Juniores, ele será promovido ao time principal. | Como será o nome ou apelido do jogador: | Posição: | (deixe em branco se quiser que o jogo escolha o nome)	Form48.OnClose=FormClose | Form48.OnCreate=FormCreate | Form48.OnPaint=FormPaint | Form48.OnShow=FormShow | Image1.OnClick=Image1Click | XiButton1.OnClick=XiButton1Click
TForm49	10	Form49 | Atenção | Atenção | Esta querendo comprar o jogador por $10000000 | Deseja vende-lo por este preço? | Atenção	Form49.OnClose=FormClose | Form49.OnCreate=FormCreate | Form49.OnKeyDown=FormKeyDown | Form49.OnPaint=FormPaint | Form49.OnShow=FormShow | bt1.OnClick=bt1Click | bt2.OnClick=bt2Click
